2022-12-11,61
2023-03-02,847704
2023-08-18,7429558
2023-12-20,1016499
2024-01-30,256416
2024-11-11,37002142
2023-06-06,927906
2023-10-28,1565263
2024-12-10,1217152
2024-04-17,261542
2023-06-15,1874154
2023-12-22,878604
2024-06-02,102936
2023-07-09,1481400
2024-07-10,98127
2023-06-02,1270123
2024-05-06,140037
2023-07-03,25330757
2024-09-17,1080189
2024-06-29,84579
2023-06-28,2412086
2023-04-04,8904
2023-11-30,1022708
2023-08-05,3151024
2022-11-29,434
2024-10-10,1449959
2023-07-14,2013819
2023-06-26,1605489
2023-10-14,2638740
2024-01-27,182972
2023-09-28,2306044
2023-06-20,923820
2023-08-23,3128306
2025-01-23,761320
2024-05-03,143168
2023-11-23,1279556
2024-05-15,91540
2023-06-30,2004828
2024-03-04,197046
2024-10-17,27272961
2024-12-27,527575
2024-07-01,99021
2023-03-06,248124
2023-03-03,483526
2024-03-26,158805
2024-05-14,93518
2024-03-19,154872
2023-01-23,8341
2024-12-13,1116028
2024-04-04,112330
2022-12-01,733
2024-01-28,155193
2024-04-14,928867
2023-02-18,11116
2024-10-12,476715
2024-08-09,369183
